distrct_no,brig_no,brig_name,short_name,grp_name
02,2003,Bendigo,BEND,Fortuna
02,2011,Golden Square,GOLD,Fortuna
02,2038,Eaglehawk,EAGL,Fortuna
02,2046,Kangaroo Flat,KFLT,Fortuna
02,2054,Bealiba,BEAL,Goldfields
02,2064,Benloch,BENL,Coliban
02,2071,Bolinda & Monegeetta,BOLI,Romsey
02,2072,Bullengarook,BULE,Mount Macedon
02,2075,Knowsley,KNOW,Eppalock
02,2080,Bowenvale,BOWE,Goldfields
02,2087,Carisbrook,CBRK,Goldfields
02,2091,Carlsruhe,CARL,Coliban
02,2093,Clarkefield & District,CLAR,Romsey
02,2098,Costerfield,CFLD,Eppalock
02,2101,Darraweit Guim,DARR,Romsey
02,2105,Dunolly,DUNU,Goldfields
02,2130,Fryerstown,FRYE,Strathloddon
02,2131,Gisborne,GBRN,Mount Macedon
02,2133,Guildford,GUIL,Strathloddon
02,2180,Lancefield,LANC,Romsey
02,2196,Kyneton,KYNE,Coliban
02,2198,Mt Camel,MCAM,Eppalock
02,2200,Maldon,MALD,Strathloddon
02,2203,Malmsbury,MALM,Coliban
02,2210,Newstead & District,NDST,Strathloddon
02,2212,Pastoria,PAST,Coliban
02,2228,Riddell's Creek,RIDD,Mount Macedon
02,2230,Romsey,ROMS,Romsey
02,2251,Lockwood,LOCK,Fortuna
02,2261,Spring Hill,SPRH,Coliban
02,2279,Tylden,TYLD,Coliban
02,2348,Axe Creek,AXEC,Eppalock
02,2356,Axedale,AXED,Eppalock
02,2364,Baringhup West,BARI,Strathloddon
02,2385,Campbells Creek,CAMP,Strathloddon
02,2402,Chewton,CHEW,Mt Alexander
02,2430,Elmore,ELMO,Whipstick
02,2445,Elphinstone,ELPH,Mt Alexander
02,2453,Goornong,GNON,Whipstick
02,2461,Harcourt,HARC,Mt Alexander
02,2470,Heathcote,HCOU,Eppalock
02,2475,Hesket-Kerrie,HESK,Mount Macedon
02,2488,Hunter-Diggora,HUND,Whipstick
02,2496,Huntly,HUNL,Fortuna
02,2526,Junortoun,JUNO,Eppalock
02,2534,Kamarooka,KAMA,Whipstick
02,2542,Langley-Barfold,LABR,Mt Alexander
02,2555,Macedon,MACE,Mount Macedon
02,2577,Mandurang,MDRG,Eppalock
02,2586,Marong,MONG,Fortuna
02,2588,Maryborough,MAGH,Goldfields
02,2593,Metcalfe,MCAF,Mt Alexander
02,2597,Mia Mia,MIAM,Eppalock
02,2600,Moolort & Joyces Creek,MOOL,Goldfields
02,2615,Mosquito Creek,MOSQ,Eppalock
