map_no,mga_zone,x_min,x_max,y_min,y_max
2J,55,317968,319970,5808528,5811008
2K,55,319917,321919,5808570,5811050
2L,55,321867,323869,5808612,5811091
2M,55,323817,325819,5808653,5811133
2S,55,313964,315966,5813320,5815800
2T,55,315914,317916,5813362,5815842
91A,55,342316,344318,5792853,5795330
100A,55,334898,336900,5775422,5777899
75A,55,333716,335692,5812117,5813377
84A,55,316439,318415,5817438,5818699
401,55,267283,269286,5772751,5775232
402,55,269233,270456,5772793,5775257
2N,55,319970,321972,5806132,5808612
2P,55,321919,323921,5806174,5808653
2A,55,317863,319865,5813404,5815884
2B,55,319813,321815,5813446,5815925
2C,55,321763,323764,5813487,5815967
2D,55,323712,325714,5813529,5816009
2E,55,317916,319917,5810966,5813446
2F,55,319865,321867,5811008,5813487
2G,55,321815,323817,5811050,5813529
2H,55,323764,325766,5811091,5813571
258,55,311644,315649,5737742,5742625
258,55,317589,321133,5736574,5738275
269,55,366208,367403,5836385,5837628
270,55,371713,372909,5832031,5833274
290,55,382672,384656,5824631,5826297
299,55,372864,374441,5796695,5797541
331,55,287011,288588,5834697,5835543
368,55,317209,321138,5845099,5846577
380,55,350752,351974,5845454,5847917
454,55,273434,275029,5775856,5777516
488,55,249609,250805,5784130,5785375
499,55,287826,291787,5758689,5761618
616,55,318136,320536,5872009,5874903
657,55,282137,282952,5855450,5857093
657,55,286774,287590,5857989,5859225
658,55,285357,286171,5850926,5852568
166,55,299736,303661,5750817,5752121
199,55,302580,306540,5798035,5800963
366,55,313339,317343,5840140,5845099
367,55,317239,321242,5840223,5845182
368,55,321138,325142,5840306,5845265
381,55,293944,297948,5834847,5839807
382,55,297844,301848,5834930,5839890
441,55,264004,268010,5775653,5780614
442,55,267904,271909,5775738,5780699
443,55,287402,291408,5776161,5781122
495,55,272228,276234,5756317,5761278
199,55,294885,298829,5793803,5795919
496,55,276128,280133,5756402,5761363
497,55,280027,284033,5756487,5761448
498,55,283927,287932,5756572,5761533
500,55,291725,295730,5756742,5761702
505,55,261804,265811,5751210,5756172
506,55,265704,269710,5751295,5756257
514,55,252259,256266,5742729,5747692
518,55,233838,237846,5727822,5732785
615,55,316398,320401,5867094,5872053
246,55,335222,336418,5846630,5847874
616,55,320298,324301,5867177,5872136
627,55,316825,320828,5859728,5864687
627X,55,324615,327041,5861112,5865226
440,55,260103,264110,5775568,5780530
5,55,309752,313755,5825427,5830387
6,55,313651,317655,5825511,5830470
7,55,317551,321554,5825594,5830553
628,55,320724,324727,5859811,5864770
647,55,316928,320931,5854852,5859811
648,55,320828,324831,5854934,5859893
657,55,282874,286878,5854248,5859208
658,55,285832,289836,5849311,5854271
660,55,293157,297161,5849466,5854426
667,55,317032,321035,5849975,5854934
668,55,320931,324934,5850058,5855017
677,55,282036,286040,5844351,5849311
678,55,285936,289940,5844434,5849394
687,55,317135,321138,5845099,5850058
688,55,321035,325038,5845182,5850141
696,55,286040,290044,5839557,5844517
474,55,299312,303317,5766663,5771623
479,55,264322,268328,5761023,5765984
480,55,268222,272228,5761108,5766069
383,55,301744,305748,5835014,5839973
384,55,305644,309647,5835097,5840056
385,55,309543,313547,5835180,5840140
329,55,278448,282452,5829636,5834597
330,55,282348,286352,5829720,5834680
331,55,286248,290252,5829803,5834764
332,55,290148,294152,5829887,5834847
333,55,270751,274756,5824592,5829553
334,55,274652,278657,5824676,5829636
335,55,278552,282557,5824759,5829720
336,55,282452,286457,5824843,5829803
337,55,286352,290357,5824927,5829887
338,55,290252,294257,5825010,5829970
339,55,270856,274861,5819715,5824676
340,55,274756,278761,5819799,5824759
341,55,278657,282661,5819882,5824843
481,55,272122,276128,5761193,5766154
482,55,276021,280027,5761278,5766239
483,55,279921,283927,5761363,5766324
484,55,283820,287826,5761448,5766409
485,55,287720,291725,5761533,5766494
486,55,291619,295624,5761618,5766578
487,55,295518,299524,5761702,5766663
488,55,250345,254351,5782521,5787483
493,55,264429,268435,5756146,5761108
494,55,268328,272334,5756231,5761193
697,55,289940,293944,5839641,5844601
144,55,357846,361806,5767468,5770396
144,55,322873,326815,5762294,5764410
166,55,294234,298213,5754733,5758474
167,55,303634,307639,5747271,5752206
167,55,298159,299338,5756879,5757311
167,55,298168,299383,5754818,5756905
257,55,331030,334999,5742964,5747923
257,55,315250,317624,5736523,5738199
421,55,263792,267798,5785407,5790368
422,55,267692,271698,5785491,5790453
423,55,271592,275598,5785576,5790537
424,55,275492,279497,5785660,5790621
429,55,256097,260103,5780360,5785322
430,55,259997,264004,5780445,5785407
431,55,263898,267904,5780530,5785491
432,55,267798,271803,5780614,5785576
439,55,256203,260210,5775483,5780445
26,55,306060,310064,5815591,5820551
27,55,309960,313964,5815675,5820635
28,55,313860,317863,5815758,5820718
29,55,317759,321763,5815842,5820801
30,55,321658,325662,5815925,5820885
31,55,325558,329561,5816009,5820968
32,55,329457,333460,5816092,5821051
33,55,333356,337359,5816176,5821135
8,55,321450,325454,5825677,5830637
9,55,325349,329353,5825761,5830720
10,55,329249,333252,5825844,5830803
11,55,333148,337151,5825927,5830886
12,55,337047,341050,5826010,5830969
13,55,302056,306060,5820384,5825344
14,55,305956,309960,5820468,5825427
15,55,309856,313860,5820551,5825511
16,55,313755,317759,5820635,5825594
17,55,317655,321658,5820718,5825677
18,55,321554,325558,5820801,5825761
146,55,330609,334612,5762463,5767422
386,55,313443,317447,5835263,5840223
387,55,317343,321346,5835346,5840306
388,55,321242,325246,5835430,5840389
389,55,325142,329145,5835513,5840472
390,55,329041,333044,5835596,5840555
391,55,332940,336943,5835679,5840638
392,55,336840,340843,5835762,5840721
393,55,340739,344742,5835845,5840803
394,55,344638,348641,5835928,5840886
395,55,348537,352540,5836011,5840969
396,55,351515,355518,5843845,5848804
419,55,255991,259997,5785237,5790199
420,55,259892,263898,5785322,5790284
444,55,291302,295307,5776246,5781206
445,55,295201,299206,5776330,5781290
446,55,299101,303106,5776415,5781375
449,55,256309,260316,5770606,5775568
450,55,260210,264216,5770691,5775653
451,55,264110,268116,5770776,5775738
452,55,268010,272015,5770861,5775822
453,55,271909,275915,5770946,5775907
454,55,275809,279815,5771031,5775992
455,55,279709,283714,5771115,5776076
456,55,283609,287614,5771200,5776161
457,55,287508,291513,5771285,5776246
458,55,291408,295413,5771370,5776330
459,55,295307,299312,5771454,5776415
460,55,299206,303211,5771539,5776499
463,55,256416,260422,5765729,5770691
464,55,260316,264322,5765814,5770776
465,55,264216,268222,5765899,5770861
466,55,268116,272122,5765984,5770946
467,55,272015,276021,5766069,5771031
468,55,275915,279921,5766154,5771115
