map_no,mga_zone,x,y,x_base,y_base
2J,55,318969,5809768,300000,5800000
2K,55,320918,5809810,300000,5800000
2L,55,322868,5809851,300000,5800000
2M,55,324818,5809893,300000,5800000
2S,55,314965,5814560,300000,5800000
2T,55,316915,5814602,300000,5800000
91A,55,343317,5794091,300000,5700000
100A,55,335899,5776661,300000,5700000
75A,55,334704,5812747,300000,5800000
84A,55,317427,5818069,300000,5800000
401,55,268285,5773991,200000,5700000
402,55,269845,5774025,200000,5700000
2N,55,320971,5807372,300000,5800000
2P,55,322920,5807414,300000,5800000
2A,55,318864,5814644,300000,5800000
2B,55,320814,5814686,300000,5800000
2C,55,322764,5814727,300000,5800000
2D,55,324713,5814769,300000,5800000
2E,55,318916,5812206,300000,5800000
2F,55,320866,5812248,300000,5800000
2G,55,322816,5812289,300000,5800000
2H,55,324765,5812331,300000,5800000
258,55,313715,5740843,300000,5700000
258,55,319361,5737425,300000,5700000
269,55,366806,5837006,300000,5800000
270,55,372311,5832652,300000,5800000
290,55,383664,5825464,300000,5800000
299,55,373653,5797118,300000,5700000
331,55,287799,5835120,200000,5800000
368,55,319174,5845838,300000,5800000
380,55,351363,5846685,300000,5800000
454,55,274232,5776686,200000,5700000
488,55,250207,5784752,200000,5700000
499,55,289807,5760153,200000,5700000
616,55,319336,5873456,300000,5800000
657,55,282544,5856272,200000,5800000
657,55,287182,5858607,200000,5800000
658,55,285764,5851747,200000,5800000
166,55,301698,5751469,300000,5700000
199,55,304560,5799499,300000,5700000
366,55,315341,5842619,300000,5800000
367,55,319241,5842702,300000,5800000
368,55,323140,5842785,300000,5800000
381,55,295946,5837327,200000,5800000
382,55,299846,5837410,200000,5800000
441,55,266007,5778134,200000,5700000
442,55,269906,5778218,200000,5700000
443,55,289405,5778641,200000,5700000
495,55,274231,5758797,200000,5700000
199,55,296857,5794861,200000,5700000
496,55,278131,5758882,200000,5700000
497,55,282030,5758967,200000,5700000
498,55,285929,5759052,200000,5700000
500,55,293728,5759222,200000,5700000
505,55,263807,5753691,200000,5700000
506,55,267707,5753776,200000,5700000
514,55,254262,5745210,200000,5700000
518,55,235842,5730303,200000,5700000
615,55,318400,5869574,300000,5800000
246,55,335820,5847252,300000,5800000
616,55,322300,5869656,300000,5800000
627,55,318826,5862208,300000,5800000
627X,55,325828,5863169,300000,5800000
440,55,262106,5778049,200000,5700000
5,55,311753,5827907,300000,5800000
6,55,315653,5827991,300000,5800000
7,55,319552,5828074,300000,5800000
628,55,322726,5862290,300000,5800000
647,55,318930,5857331,300000,5800000
648,55,322829,5857414,300000,5800000
657,55,284876,5856728,200000,5800000
658,55,287834,5851791,200000,5800000
660,55,295159,5851946,200000,5800000
667,55,319033,5852455,300000,5800000
668,55,322933,5852538,300000,5800000
677,55,284038,5846831,200000,5800000
678,55,287938,5846914,200000,5800000
687,55,319137,5847579,300000,5800000
688,55,323036,5847661,300000,5800000
696,55,288042,5842037,200000,5800000
474,55,301314,5769143,300000,5700000
479,55,266325,5763504,200000,5700000
480,55,270225,5763589,200000,5700000
383,55,303746,5837494,300000,5800000
384,55,307646,5837577,300000,5800000
385,55,311545,5837660,300000,5800000
329,55,280450,5832117,200000,5800000
330,55,284350,5832200,200000,5800000
331,55,288250,5832284,200000,5800000
332,55,292150,5832367,200000,5800000
333,55,272754,5827072,200000,5800000
334,55,276654,5827156,200000,5800000
335,55,280554,5827240,200000,5800000
336,55,284455,5827323,200000,5800000
337,55,288355,5827407,200000,5800000
338,55,292255,5827490,200000,5800000
339,55,272859,5822195,200000,5800000
340,55,276759,5822279,200000,5800000
341,55,280659,5822363,200000,5800000
481,55,274125,5763674,200000,5700000
482,55,278024,5763759,200000,5700000
483,55,281924,5763844,200000,5700000
484,55,285823,5763928,200000,5700000
485,55,289723,5764013,200000,5700000
486,55,293622,5764098,200000,5700000
487,55,297521,5764183,200000,5700000
488,55,252348,5785002,200000,5700000
493,55,266432,5758627,200000,5700000
494,55,270331,5758712,200000,5700000
697,55,291942,5842121,200000,5800000
144,55,359826,5768932,300000,5700000
144,55,324844,5763352,300000,5700000
166,55,296224,5756604,200000,5700000
167,55,305873,5749946,300000,5700000
167,55,298748,5757095,200000,5700000
167,55,298775,5755861,200000,5700000
257,55,332829,5745845,300000,5700000
257,55,316437,5737361,300000,5700000
421,55,265795,5787887,200000,5700000
422,55,269695,5787972,200000,5700000
423,55,273595,5788056,200000,5700000
424,55,277495,5788141,200000,5700000
429,55,258100,5782841,200000,5700000
430,55,262000,5782926,200000,5700000
431,55,265901,5783010,200000,5700000
432,55,269801,5783095,200000,5700000
439,55,258206,5777964,200000,5700000
26,55,308062,5818071,300000,5800000
27,55,311962,5818155,300000,5800000
28,55,315861,5818238,300000,5800000
29,55,319761,5818322,300000,5800000
30,55,323660,5818405,300000,5800000
31,55,327559,5818488,300000,5800000
32,55,331459,5818572,300000,5800000
33,55,335358,5818655,300000,5800000
8,55,323452,5828157,300000,5800000
9,55,327351,5828240,300000,5800000
10,55,331250,5828323,300000,5800000
11,55,335150,5828407,300000,5800000
12,55,339049,5828490,300000,5800000
13,55,304058,5822864,300000,5800000
14,55,307958,5822948,300000,5800000
15,55,311858,5823031,300000,5800000
16,55,315757,5823114,300000,5800000
17,55,319657,5823198,300000,5800000
18,55,323556,5823281,300000,5800000
146,55,332611,5764942,300000,5700000
386,55,315445,5837743,300000,5800000
387,55,319344,5837826,300000,5800000
388,55,323244,5837909,300000,5800000
389,55,327143,5837992,300000,5800000
390,55,331043,5838075,300000,5800000
391,55,334942,5838158,300000,5800000
392,55,338841,5838241,300000,5800000
393,55,342740,5838324,300000,5800000
394,55,346639,5838407,300000,5800000
395,55,350538,5838490,300000,5800000
396,55,353517,5846324,300000,5800000
419,55,257994,5787718,200000,5700000
420,55,261895,5787803,200000,5700000
444,55,293305,5778726,200000,5700000
445,55,297204,5778810,200000,5700000
446,55,301103,5778895,300000,5700000
449,55,258313,5773087,200000,5700000
450,55,262213,5773172,200000,5700000
451,55,266113,5773257,200000,5700000
452,55,270013,5773342,200000,5700000
453,55,273912,5773427,200000,5700000
454,55,277812,5773511,200000,5700000
455,55,281712,5773596,200000,5700000
456,55,285611,5773681,200000,5700000
457,55,289511,5773765,200000,5700000
458,55,293410,5773850,200000,5700000
459,55,297309,5773934,200000,5700000
460,55,301209,5774019,300000,5700000
463,55,258419,5768210,200000,5700000
464,55,262319,5768295,200000,5700000
465,55,266219,5768380,200000,5700000
466,55,270119,5768465,200000,5700000
467,55,274018,5768550,200000,5700000
468,55,277918,5768635,200000,5700000
469,55,281818,5768720,200000,5700000
470,55,285717,5768804,200000,5700000
471,55,289617,5768889,200000,5700000
472,55,293516,5768974,200000,5700000
473,55,297415,5769058,200000,5700000
20,55,331354,5823448,300000,5800000
21,55,335254,5823531,300000,5800000
22,55,339153,5823614,300000,5800000
23,55,343052,5823697,300000,5800000
24,55,346951,5823780,300000,5800000
25,55,304163,5817988,300000,5800000
99,55,336194,5779652,300000,5700000
100,55,340093,5779736,300000,5700000
101,55,332400,5774693,300000,5700000
102,55,336299,5774777,300000,5700000
103,55,340198,5774861,300000,5700000
104,55,328607,5769733,300000,5700000
105,55,332505,5769818,300000,5700000
106,55,336404,5769902,300000,5700000
107,55,340302,5769986,300000,5700000
108,55,351475,5794612,300000,5700000
109,55,355373,5794695,300000,5700000
34,55,339257,5818738,300000,5800000
35,55,343156,5818822,300000,5800000
36,55,347055,5818905,300000,5800000
37,55,350954,5818988,300000,5800000
38,55,354853,5819071,300000,5800000
39,55,304267,5813111,300000,5800000
40,55,308167,5813195,300000,5800000
41,55,312066,5813279,300000,5800000
68,55,327873,5803861,300000,5800000
147,55,336509,5765027,300000,5700000
148,55,340408,5765111,300000,5700000
149,55,344306,5765195,300000,5700000
150,55,324919,5759899,300000,5700000
151,55,328817,5759983,300000,5700000
152,55,332716,5760068,300000,5700000
205,55,292778,5803107,200000,5800000
206,55,296678,5803191,200000,5800000
207,55,300577,5803275,300000,5800000
208,55,304477,5803359,300000,5800000
209,55,308376,5803443,300000,5800000
210,55,359272,5794779,300000,5700000
