org,district,name,short_name,cfa_grp_name
CFA,02,Bendigo,BEND,Fortuna
CFA,02,Golden Square,GOLD,Fortuna
CFA,02,Eaglehawk,EAGL,Fortuna
CFA,02,Kangaroo Flat,KFLT,Fortuna
CFA,02,Bealiba,BEAL,Goldfields
CFA,02,Benloch,BENL,Coliban
CFA,02,Bolinda & Monegeetta,BOLI,Romsey
CFA,02,Bullengarook,BULE,Mount Macedon
CFA,02,Knowsley,KNOW,Eppalock
CFA,02,Bowenvale,BOWE,Goldfields
CFA,02,Carisbrook,CBRK,Goldfields
CFA,02,Carlsruhe,CARL,Coliban
CFA,02,Clarkefield & District,CLAR,Romsey
CFA,02,Costerfield,CFLD,Eppalock
CFA,02,Darraweit Guim,DARR,Romsey
CFA,02,Dunolly,DUNU,Goldfields
CFA,02,Fryerstown,FRYE,Strathloddon
CFA,02,Gisborne,GBRN,Mount Macedon
CFA,02,Guildford,GUIL,Strathloddon
CFA,02,Lancefield,LANC,Romsey
CFA,02,Kyneton,KYNE,Coliban
CFA,02,Mt Camel,MCAM,Eppalock
CFA,02,Maldon,MALD,Strathloddon
CFA,02,Malmsbury,MALM,Coliban
CFA,02,Newstead & District,NDST,Strathloddon
CFA,02,Pastoria,PAST,Coliban
CFA,02,Riddell's Creek,RIDD,Mount Macedon
CFA,02,Romsey,ROMS,Romsey
CFA,02,Lockwood,LOCK,Fortuna
CFA,02,Spring Hill,SPRH,Coliban
CFA,02,Tylden,TYLD,Coliban
CFA,02,Axe Creek,AXEC,Eppalock
CFA,02,Axedale,AXED,Eppalock
CFA,02,Baringhup West,BARI,Strathloddon
CFA,02,Campbells Creek,CAMP,Strathloddon
CFA,02,Chewton,CHEW,Mt Alexander
CFA,02,Elmore,ELMO,Whipstick
CFA,02,Elphinstone,ELPH,Mt Alexander
CFA,02,Goornong,GNON,Whipstick
CFA,02,Harcourt,HARC,Mt Alexander
CFA,02,Heathcote,HCOU,Eppalock
CFA,02,Hesket-Kerrie,HESK,Mount Macedon
CFA,02,Hunter-Diggora,HUND,Whipstick
CFA,02,Huntly,HUNL,Fortuna
CFA,02,Junortoun,JUNO,Eppalock
CFA,02,Kamarooka,KAMA,Whipstick
CFA,02,Langley-Barfold,LABR,Mt Alexander
CFA,02,Macedon,MACE,Mount Macedon
CFA,02,Mandurang,MDRG,Eppalock
CFA,02,Marong,MONG,Fortuna
CFA,02,Maryborough,MAGH,Goldfields
CFA,02,Metcalfe,MCAF,Mt Alexander
CFA,02,Mia Mia,MIAM,Eppalock
CFA,02,Moolort & Joyces Creek,MOOL,Goldfields
CFA,02,Mosquito Creek,MOSQ,Eppalock
CFA,02,Mount Macedon,MTMC,Mount Macedon
CFA,02,Mt Cameron,MCRM,Goldfields
CFA,02,Raywood,RAYW,Whipstick
CFA,02,Redesdale,REDE,Eppalock
CFA,02,Sedgwick,SEDG,Eppalock
CFA,02,Springfield,SFLD,Romsey
CFA,02,Sutton Grange & Myrtle Ck,SUTT,Mt Alexander
CFA,02,Talbot,TALB,Goldfields
CFA,02,Taradale,TARA,Mt Alexander
CFA,02,Woodvale,WVAL,Whipstick
CFA,02,Castlemaine,CMAI,Mt Alexander
CFA,02,Woodend,WOOD,Mount Macedon
CFA,02,Walmer,WALM,Strathloddon
CFA,02,Wareek & Bung Bong,WBBG,Goldfields
CFA,02,Natte Yallock,NYLK,Goldfields
CFA,02,Maiden Gully,MAID,Fortuna
CFA,02,Strathfieldsaye,SAYE,Fortuna
CFA,02,Newham,NEWH,Mount Macedon
CFA,04,Bahgallah,BAHG,Casterton
CFA,04,Cape Bridgewater,CBRI,Heywood
CFA,04,Carapook,CPOK,Casterton
CFA,04,Cashmore,CASH,Heywood
CFA,04,Casterton,CAST,Casterton
CFA,04,Condah,COND,Heywood
CFA,04,Corndale,CDAL,Casterton
CFA,04,Dartmoor,DART,Dartmoor
CFA,04,Digby,DIGB,Merino
CFA,04,Drik Drik,DRIK,Dartmoor
CFA,04,Drumborg,DBRG,Heywood
CFA,04,Dunrobin & Nangeela,DUNN,Casterton
CFA,04,Glenorchy Estate,GEST,Merino
CFA,04,Gorae West,GWST,Heywood
CFA,04,Grassdale,GDAL,Merino
CFA,04,Heathmere,HMER,Heywood
CFA,04,Henty,HENT,Casterton
CFA,04,Heywood,HEYW,Heywood
CFA,04,Homerton,HOME,Heywood
CFA,04,Hotspur,HOTS,Heywood
CFA,04,Killara,KILL,Strathdownie
CFA,04,Lake Mundi,LMUN,Strathdownie
CFA,04,Lindsay,LSAY,Strathdownie
CFA,04,Lyons,LYON,Heywood
CFA,04,Merino,MINO,Merino
CFA,04,Milltown,MTWN,Heywood
CFA,04,Morven,MORV,Merino
CFA,04,Mumbannar,MUMB,Dartmoor
CFA,04,Myamyn,MYAM,Heywood
CFA,04,Narrawong,NWNG,Heywood
CFA,04,Nelson,NELS,Dartmoor
CFA,04,Paschendale,PDAL,Merino
CFA,04,Portland,PLND,Heywood
CFA,04,Sandford,SAND,Casterton
CFA,04,Strathdownie,SDWN,Strathdownie
CFA,04,Tahara,TAHA,Merino
CFA,04,Tyrendarra,TYRE,Heywood
CFA,04,Wallacedale,WDAL,Merino
CFA,04,Wando Bridge,WADO,Casterton
CFA,04,Wando Vale,WANV,Casterton
CFA,05,Abbey Hills,ABBE,Hawkesdale
CFA,05,Allansford,AFRD,Hopkins - Curdies
CFA,05,Ardachy,ARDA,Dundas
CFA,05,Ardonachie,ARDO,Macarthur
CFA,05,Balmoral,BRAL,Balmoral
CFA,05,Bessiebelle,BESS,Macarthur
CFA,05,Bochara,BOCH,Dundas
CFA,05,Branxholme,BLME,Dundas
CFA,05,Broadwater,BWTR,Macarthur
CFA,05,Buckley Swamp,BUCK,Mount  Rouse
CFA,05,Bulart,BLRT,Dundas
CFA,05,Coleraine,COLE,Balmoral
CFA,05,Burn Brae,BRNB,Mount  Rouse
CFA,05,Byaduk,BYAD,Macarthur
CFA,05,Caramut,CMUT,Hawkesdale
CFA,05,Cavendish,CAVE,Dundas
CFA,05,Croxton East,CROX,Mount  Rouse
CFA,05,Cudgee,CUDG,Hopkins - Curdies
CFA,05,Culla,CULL,Nareen
CFA,05,Dunkeld,DUNK,Serra
CFA,05,Ellerslie,ELLE,Mortlake
CFA,05,Codrington,CODR,Belfast
CFA,05,Framlingham,FRAM,Merri
CFA,05,Garvoc,GARC,Hopkins - Curdies
CFA,05,Gazette,GAZE,Mount  Rouse
CFA,05,Glenthompson,GTOM,Serra
CFA,05,Grange,GRAN,Dundas
CFA,05,Grassmere,GRRE,Merri
CFA,05,Gringe,GRIN,Balmoral
CFA,05,Gritjurk,GRIT,Balmoral
CFA,05,Bainbridge,BAIN,Dundas
CFA,05,Hamilton,HAMI,Dundas
CFA,05,Hawkesdale,HAWK,Hawkesdale
