map_no,mga_zone,x_min,x_max,y_min,y_max
92,54,470000,490000,6240000,6270000
93,54,490000,510000,6240000,6270000
94,54,510000,530000,6240000,6270000
95,54,530000,550000,6240000,6270000
96,54,550000,570000,6240000,6270000
97,54,570000,590000,6240000,6270000
98,54,590000,610000,6240000,6270000
99,54,610000,630000,6240000,6270000
100,54,470000,490000,6210000,6240000
101,54,490000,510000,6210000,6240000
102,54,510000,530000,6210000,6240000
103,54,530000,550000,6210000,6240000
104,54,550000,570000,6210000,6240000
105,54,570000,590000,6210000,6240000
106,54,590000,610000,6210000,6240000
107,54,610000,630000,6210000,6240000
108,54,630000,650000,6210000,6240000
109,54,470000,490000,6180000,6210000
110,54,490000,510000,6180000,6210000
111,54,510000,530000,6180000,6210000
112,54,530000,550000,6180000,6210000
113,54,550000,570000,6180000,6210000
114,54,570000,590000,6180000,6210000
115,54,590000,610000,6180000,6210000
116,54,610000,630000,6180000,6210000
118,54,470000,490000,6150000,6180000
119,54,490000,510000,6150000,6180000
120,54,510000,530000,6150000,6180000
121,54,530000,550000,6150000,6180000
122,54,550000,570000,6150000,6180000
123,54,570000,590000,6150000,6180000
124,54,590000,610000,6150000,6180000
125,54,610000,630000,6150000,6180000
126,54,630000,650000,6150000,6180000
127,54,650000,670000,6150000,6180000
128,54,670000,690000,6150000,6180000
129,54,690000,710000,6150000,6180000
130,54,710000,730000,6150000,6180000
131,54,470000,490000,6120000,6150000
132,54,490000,510000,6120000,6150000
133,54,510000,530000,6120000,6150000
134,54,530000,550000,6120000,6150000
135,54,550000,570000,6120000,6150000
136,54,570000,590000,6120000,6150000
137,54,590000,610000,6120000,6150000
138,54,610000,630000,6120000,6150000
139,54,630000,650000,6120000,6150000
140,54,650000,670000,6120000,6150000
141,54,670000,690000,6120000,6150000
142,54,690000,710000,6120000,6150000
143,54,710000,730000,6120000,6150000
144,54,730000,750000,6120000,6150000
145,54,470000,490000,6090000,6120000
146,54,490000,510000,6090000,6120000
147,54,510000,530000,6090000,6120000
148,54,530000,550000,6090000,6120000
149,54,550000,570000,6090000,6120000
150,54,570000,590000,6090000,6120000
151,54,590000,610000,6090000,6120000
152,54,610000,630000,6090000,6120000
153,54,630000,650000,6090000,6120000
154,54,650000,670000,6090000,6120000
155,54,670000,690000,6090000,6120000
156,54,690000,710000,6090000,6120000
157,54,710000,730000,6090000,6120000
158,54,730000,750000,6090000,6120000
159,54,750000,770000,6090000,6120000
160,54,470000,490000,6060000,6090000
161,54,490000,510000,6060000,6090000
162,54,510000,530000,6060000,6090000
163,54,530000,550000,6060000,6090000
164,54,550000,570000,6060000,6090000
165,54,570000,590000,6060000,6090000
166,54,590000,610000,6060000,6090000
167,54,610000,630000,6060000,6090000
168,54,630000,650000,6060000,6090000
169,54,650000,670000,6060000,6090000
170,54,670000,690000,6060000,6090000
171,54,690000,710000,6060000,6090000
172,54,710000,730000,6060000,6090000
173,54,730000,750000,6060000,6090000
174,54,750000,770000,6060000,6090000
177,54,470000,490000,6030000,6060000
178,54,490000,510000,6030000,6060000
179,54,510000,530000,6030000,6060000
180,54,530000,550000,6030000,6060000
181,54,550000,570000,6030000,6060000
182,54,570000,590000,6030000,6060000
183,54,590000,610000,6030000,6060000
184,54,610000,630000,6030000,6060000
185,54,630000,650000,6030000,6060000
186,54,650000,670000,6030000,6060000
187,54,670000,690000,6030000,6060000
188,54,690000,710000,6030000,6060000
189,54,710000,730000,6030000,6060000
190,54,730000,750000,6030000,6060000
192,55,230000,250000,6030000,6060000
193,55,250000,270000,6030000,6060000
194,55,270000,290000,6030000,6060000
195,55,290000,310000,6030000,6060000
196,55,310000,330000,6030000,6060000
197,55,330000,350000,6030000,6060000
198,55,350000,370000,6030000,6060000
199,55,370000,390000,6030000,6060000
201,54,470000,490000,6000000,6030000
202,54,490000,510000,6000000,6030000
203,54,510000,530000,6000000,6030000
204,54,530000,550000,6000000,6030000
205,54,550000,570000,6000000,6030000
206,54,570000,590000,6000000,6030000
207,54,590000,610000,6000000,6030000
208,54,610000,630000,6000000,6030000
209,54,630000,650000,6000000,6030000
210,54,650000,670000,6000000,6030000
211,54,670000,690000,6000000,6030000
212,54,690000,710000,6000000,6030000
213,54,710000,730000,6000000,6030000
214,54,730000,750000,6000000,6030000
216,55,230000,250000,6000000,6030000
217,55,250000,270000,6000000,6030000
218,55,270000,290000,6000000,6030000
219,55,290000,310000,6000000,6030000
220,55,310000,330000,6000000,6030000
221,55,330000,350000,6000000,6030000
222,55,350000,370000,6000000,6030000
223,55,370000,390000,6000000,6030000
224,55,390000,410000,6000000,6030000
225,55,410000,430000,6000000,6030000
226,55,430000,450000,6000000,6030000
227,55,450000,470000,6000000,6030000
228,55,470000,490000,6000000,6030000
229,55,490000,510000,6000000,6030000
230,55,510000,530000,6000000,6030000
231,55,530000,550000,6000000,6030000
232,55,550000,570000,6000000,6030000
233,55,570000,590000,6000000,6030000
234,55,590000,610000,6000000,6030000
236,54,470000,490000,5970000,6000000
237,54,490000,510000,5970000,6000000
238,54,510000,530000,5970000,6000000
239,54,530000,550000,5970000,6000000
240,54,550000,570000,5970000,6000000
241,54,570000,590000,5970000,6000000
242,54,590000,610000,5970000,6000000
