map_no,mga_zone,x,y,x_base,y_base
92,54,480000,6255000,400000,6200000
93,54,500000,6255000,500000,6200000
94,54,520000,6255000,500000,6200000
95,54,540000,6255000,500000,6200000
96,54,560000,6255000,500000,6200000
97,54,580000,6255000,500000,6200000
98,54,600000,6255000,600000,6200000
99,54,620000,6255000,600000,6200000
100,54,480000,6225000,400000,6200000
101,54,500000,6225000,500000,6200000
102,54,520000,6225000,500000,6200000
103,54,540000,6225000,500000,6200000
104,54,560000,6225000,500000,6200000
105,54,580000,6225000,500000,6200000
106,54,600000,6225000,600000,6200000
107,54,620000,6225000,600000,6200000
108,54,640000,6225000,600000,6200000
109,54,480000,6195000,400000,6100000
110,54,500000,6195000,500000,6100000
111,54,520000,6195000,500000,6100000
112,54,540000,6195000,500000,6100000
113,54,560000,6195000,500000,6100000
114,54,580000,6195000,500000,6100000
115,54,600000,6195000,600000,6100000
116,54,620000,6195000,600000,6100000
118,54,480000,6165000,400000,6100000
119,54,500000,6165000,500000,6100000
120,54,520000,6165000,500000,6100000
121,54,540000,6165000,500000,6100000
122,54,560000,6165000,500000,6100000
123,54,580000,6165000,500000,6100000
124,54,600000,6165000,600000,6100000
125,54,620000,6165000,600000,6100000
126,54,640000,6165000,600000,6100000
127,54,660000,6165000,600000,6100000
128,54,680000,6165000,600000,6100000
129,54,700000,6165000,700000,6100000
130,54,720000,6165000,700000,6100000
131,54,480000,6135000,400000,6100000
132,54,500000,6135000,500000,6100000
133,54,520000,6135000,500000,6100000
134,54,540000,6135000,500000,6100000
135,54,560000,6135000,500000,6100000
136,54,580000,6135000,500000,6100000
137,54,600000,6135000,600000,6100000
138,54,620000,6135000,600000,6100000
139,54,640000,6135000,600000,6100000
140,54,660000,6135000,600000,6100000
141,54,680000,6135000,600000,6100000
142,54,700000,6135000,700000,6100000
143,54,720000,6135000,700000,6100000
144,54,740000,6135000,700000,6100000
145,54,480000,6105000,400000,6100000
146,54,500000,6105000,500000,6100000
147,54,520000,6105000,500000,6100000
148,54,540000,6105000,500000,6100000
149,54,560000,6105000,500000,6100000
150,54,580000,6105000,500000,6100000
151,54,600000,6105000,600000,6100000
152,54,620000,6105000,600000,6100000
153,54,640000,6105000,600000,6100000
154,54,660000,6105000,600000,6100000
155,54,680000,6105000,600000,6100000
156,54,700000,6105000,700000,6100000
157,54,720000,6105000,700000,6100000
158,54,740000,6105000,700000,6100000
159,54,760000,6105000,700000,6100000
160,54,480000,6075000,400000,6000000
161,54,500000,6075000,500000,6000000
162,54,520000,6075000,500000,6000000
163,54,540000,6075000,500000,6000000
164,54,560000,6075000,500000,6000000
165,54,580000,6075000,500000,6000000
166,54,600000,6075000,600000,6000000
167,54,620000,6075000,600000,6000000
168,54,640000,6075000,600000,6000000
169,54,660000,6075000,600000,6000000
170,54,680000,6075000,600000,6000000
171,54,700000,6075000,700000,6000000
172,54,720000,6075000,700000,6000000
173,54,740000,6075000,700000,6000000
174,54,760000,6075000,700000,6000000
177,54,480000,6045000,400000,6000000
178,54,500000,6045000,500000,6000000
179,54,520000,6045000,500000,6000000
180,54,540000,6045000,500000,6000000
181,54,560000,6045000,500000,6000000
182,54,580000,6045000,500000,6000000
183,54,600000,6045000,600000,6000000
184,54,620000,6045000,600000,6000000
185,54,640000,6045000,600000,6000000
186,54,660000,6045000,600000,6000000
187,54,680000,6045000,600000,6000000
188,54,700000,6045000,700000,6000000
189,54,720000,6045000,700000,6000000
190,54,740000,6045000,700000,6000000
192,55,240000,6045000,200000,6000000
193,55,260000,6045000,200000,6000000
194,55,280000,6045000,200000,6000000
195,55,300000,6045000,300000,6000000
196,55,320000,6045000,300000,6000000
197,55,340000,6045000,300000,6000000
198,55,360000,6045000,300000,6000000
199,55,380000,6045000,300000,6000000
201,54,480000,6015000,400000,6000000
202,54,500000,6015000,500000,6000000
203,54,520000,6015000,500000,6000000
204,54,540000,6015000,500000,6000000
205,54,560000,6015000,500000,6000000
206,54,580000,6015000,500000,6000000
207,54,600000,6015000,600000,6000000
208,54,620000,6015000,600000,6000000
209,54,640000,6015000,600000,6000000
210,54,660000,6015000,600000,6000000
